autor,pintura,año,tipo,dimension,url,http://dbpedia.org/ontology/thumbnail
Eduardo X. Arroyo,Vavara,1998,Tinta,26x16cm,https://www.pinterest.es/pin/602215781397696801,https://i.pinimg.com/originals/f6/58/99/f658993db1980f9ec7e47024d3561a50.jpg
Eduardo X. Arroyo,El silencio de la silla,1998,Acuarela,105x75cm,https://www.pinterest.es/pin/602215781397677908/,https://i.pinimg.com/originals/a3/0a/0b/a30a0b62f496e0ba076e8b66ce924e89.jpg
Eduardo X. Arroyo,Falacia de la dualidad,1996,Acuarela,112x75cm,https://www.pinterest.es/pin/602215781397677982,https://i.pinimg.com/originals/de/d8/1d/ded81dea67ce8c1369634954f9a46e8b.jpg
Eduardo X. Arroyo,Chirikahua,1997,Acuarela y tinta,75x104cm,https://www.pinterest.es/pin/602215781397677662/,https://i.pinimg.com/originals/78/38/a0/7838a03c298a860cff67cb5107dc4d3d.jpg
Eduardo X. Arroyo,Alegrías del alma,1999,"Acuarela, sanguina y acrilico",108x73cm,https://www.pinterest.es/pin/602215781397675024/,https://i.pinimg.com/originals/b0/89/9b/b0899b8cf6ab0584bb4a270dcceb41e2.jpg
Eduardo X. Arroyo,Claridades furtivas,1999,"Acrílico, óleo, tinta, lápiz",112x75cm,https://www.pinterest.es/pin/602215781397677870/,https://i.pinimg.com/originals/1c/55/41/1c5541b460f32b77a0d1c91f0a53a9fa.jpg
Eduardo X. Arroyo,La calma,1999,"Sanguina, acuarela",102x65cm,https://www.pinterest.es/pin/602215781397678340,https://i.pinimg.com/originals/97/97/26/97972613f1a0f88b448d158201bc76dc.jpg
Eduardo X. Arroyo,Pobres errantes,1999,Óleo,47x35cm,https://www.pinterest.es/pin/602215781397678761/,https://i.pinimg.com/originals/95/09/0b/95090b131f838dc87310096d63609260.jpg
Eduardo X. Arroyo,Equilibrio cósmico,1999,Óleo,47x35cm,https://www.pinterest.es/pin/602215781397677969,https://i.pinimg.com/originals/d7/db/83/d7db83b4a344cc2805fb4d70a10b40b4.jpg
Eduardo X. Arroyo,Paisaje,1999,Tinta,20x41cm,https://www.pinterest.es/pin/602215781397678695,https://i.pinimg.com/originals/e0/43/11/e04311c876d08ca01e715faaf4888881.jpg
Eduardo X. Arroyo,Recuerdo roto,2000,Acuarela,105x75cm,https://www.pinterest.es/pin/602215781397696686/,https://i.pinimg.com/originals/21/93/73/219373cc4c23e608ec293f79d919db18.jpg
Eduardo X. Arroyo,Ojo,1981,Tinta,18x18cm,https://www.pinterest.es/pin/602215781397678681,https://i.pinimg.com/originals/43/19/5b/43195bafdb4020f1b089c48bb17bbfe6.jpg
Eduardo X. Arroyo,Inexpresable sabiduría,2000,Acuarela y sanguina,83x53cm,https://www.pinterest.es/pin/602215781397678284/,https://i.pinimg.com/originals/20/d3/58/20d358e559e07a7d07ee63e0e628550b.jpg
Eduardo X. Arroyo,Voluntariamente ignorado,2001,Acuarela,75x105cm,https://www.pinterest.es/pin/602215781397696836,https://i.pinimg.com/originals/29/1f/78/291f78acc3187c568e995909fd349214.jpg
Eduardo X. Arroyo,17 Flores,2005,"Acrílico, acuarela y pastel",75x58cm,https://www.pinterest.es/pin/602215781397674999/,https://i.pinimg.com/originals/18/0e/6a/180e6a1d39b4b53c9425caeb64e57dda.jpg
Eduardo X. Arroyo,El más azul de todos los azules,2004,Óleo,45x120cm,https://www.pinterest.es/pin/602215781397677879/,https://i.pinimg.com/originals/27/52/c4/2752c4fc5ca14e83dfeb14b9d6ad8e5a.jpg
Eduardo X. Arroyo,Flores(detalle),2005,Acrílico,54x57cm,http://www.pinteres.com/imagen1,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1996,Tinta,22x15cm,http://www.pinteres.com/imagen2,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T(detalle),2000,Acuarela,69x1.25cm,http://www.pinteres.com/imagen3,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1981,Plumilla,23x17.5cm,http://www.pinteres.com/imagen4,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1981,Plumilla,12x12cm,http://www.pinteres.com/imagen5,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Jardín Franciscano de Guápulo (detalle),1989,Plumilla,25x35cm,http://www.pinteres.com/imagen6,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Guápulo,1997,Tinta,40x65cm,http://www.pinteres.com/imagen7,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1983,Plumilla,12x12cm,http://www.pinteres.com/imagen8,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1983,Plumilla,12x12cm,http://www.pinteres.com/imagen9,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1984,Plumilla,23x29cm,http://www.pinteres.com/imagen10,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1984,Tinta,30x40cm,http://www.pinteres.com/imagen11,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1984,Tinta china,12x29cm,http://www.pinteres.com/imagen12,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1985,Plumilla,12x17cm,http://www.pinteres.com/imagen13,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1986,Tinta,18x25cm,http://www.pinteres.com/imagen14,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1986,Tinta,20x27cm,http://www.pinteres.com/imagen15,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1986,Aguada,55x40cm,http://www.pinteres.com/imagen16,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1986,Tinta,12.5x19.5cm,http://www.pinteres.com/imagen17,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1986,Tinta,12x19cm,http://www.pinteres.com/imagen18,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1987,Tinta,40x42cm,http://www.pinteres.com/imagen19,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1987,Plumilla,19x13.5cm,http://www.pinteres.com/imagen20,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Asmodeo,1988,Tinta china,29x36cm,http://www.pinteres.com/imagen21,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1988,Plumilla,20x10cm,http://www.pinteres.com/imagen22,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1985,Plumilla,28x18cm,http://www.pinteres.com/imagen23,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1988,Plumilla,20x15cm,http://www.pinteres.com/imagen24,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Jardín de Guápulo,1989,Tinta,26x33cm,http://www.pinteres.com/imagen25,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1993,Tinta,45x66cm,http://www.pinteres.com/imagen26,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1988,Tinta,30x50cm,http://www.pinteres.com/imagen27,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1992,Tinta,71x50cm,http://www.pinteres.com/imagen28,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,S/T,1995,Aguada,11x19cm,http://www.pinteres.com/imagen29,http://www.pinteres.com/imagen1.jpg
Eduardo X. Arroyo,Solitude,1995,Tinta china,13x36cm,http://www.pinteres.com/imagen30,http://www.pinteres.com/imagen1.jpg
